NAME,INTERCEPT,BLACK_COEF,HISP_NPR_COEF,WHITE_COEF,HEALTH_COEF,AVG_HH_COEF,PR_COEF,BLACK_COEF_PER,HISP_NPR_COEF_PER,WHITE_COEF_PER,HEALTH_COEF_PER,AVG_HH_COEF_PER,PR_COEF_PER,ESTIMATE,LOG_CASES,LOG_DEATHS
Clinton,0.887066618,-0.020763962,0.003503476,0.012934484,0.141828888,0.103309706,0.062343588,-2.055,0.351,1.302,15.238,10.883,6.433,2.341389654,2.298394534,0.7930916
Franklin,0.839780293,-0.021507732,-0.006350462,0.014015254,0.175166972,0.083015899,0.057579789,-2.128,-0.633,1.411,19.145,8.656,5.927,2.183340551,2.12037648,0.301029996
Saint Lawrence,0.961938369,-0.005577113,-0.039047022,0.012515928,0.162620053,0.088605613,0.057329593,-0.556,-3.829,1.259,17.659,9.265,5.9,2.412780062,2.475482324,0.56937391
Lewis,1.135055023,0.01883382,-0.0412993,0.010657841,0.120044406,0.082673875,0.056904784,1.901,-4.046,1.071,12.755,8.619,5.856,2.37157141,2.27907349,1.278982117
Essex,0.973711907,0.006242592,0.025479168,0.014430092,0.124782981,0.045828611,0.046495587,0.626,2.581,1.453,13.29,4.689,4.759,2.546024446,2.655868051,1.5470359
Jefferson,1.063696984,0.012434359,-0.059356888,0.011053676,0.11369307,0.095148761,0.046410196,1.251,-5.763,1.111,12.041,9.982,4.75,2.211663406,2.189714842,-0.040958608
Hamilton,1.16259353,0.033104188,0.017008271,0.013482047,0.097406083,0.013039918,0.036160511,3.366,1.715,1.357,10.231,1.313,3.682,2.568333965,2.531057191,1.354876423
Broome,1.132115231,0.034638951,0.023713112,0.008327786,0.036637841,0.287984544,0.033365406,3.525,2.4,0.836,3.732,33.374,3.393,2.847240974,2.916585533,1.649529566
Oneida,1.30379762,0.032822385,0.030403229,0.011547107,0.079617449,0.061013117,0.030629651,3.337,3.087,1.161,8.287,6.291,3.11,2.899906706,3.023166004,1.727134424
Herkimer,1.265219496,0.036691812,0.023763497,0.012763593,0.085586085,0.020400109,0.029808671,3.737,2.405,1.285,8.936,2.061,3.026,2.654249793,2.736149402,1.212453961
Oswego,1.212543518,0.014884517,-0.008860222,0.010000883,0.100252523,0.111543365,0.028231471,1.5,-0.882,1.005,10.545,11.8,2.863,2.533336936,2.624199562,0.408239965
Sullivan,1.063515526,0.016926234,0.017465978,0.006769498,0.026583627,0.47092679,0.027405304,1.707,1.762,0.679,2.694,60.148,2.778,3.241716287,3.324113645,1.690639012
Warren,1.168828162,0.03721951,0.033362488,0.013792432,0.070093327,0.020980812,0.027174663,3.792,3.393,1.389,7.261,2.12,2.755,2.672287454,2.775122366,1.671358003
Tioga,1.095300183,0.031978231,0.031399654,0.008568978,0.035539379,0.25860105,0.027141373,3.25,3.19,0.861,3.618,29.512,2.751,2.620821729,2.687992437,1.63918756
Cortland,1.169226866,0.030116513,0.03414683,0.009211112,0.046379208,0.192998348,0.02595565,3.057,3.474,0.925,4.747,21.288,2.63,2.649300715,2.555565989,0.322219295
